ID,Week,Player,FTM,PTS,AST,REB,TO,FGM,FGA,3PTM,FTA,STL,BLK,Fantasy Points,Weekly Contribution Percentage
211,16,Kawhi Leonard,18.0,75.0,28.0,12.0,-14.0,48.0,-48.0,9.0,-20.0,20.0,8.0,136.0,9.86
212,16,Dejounte Murray,16.0,55.0,28.0,11.0,-6.0,32.0,-37.0,7.0,-20.0,8.0,4.0,98.0,7.1
213,16,Jalen Duren,15.0,57.0,16.0,55.0,-18.0,42.0,-37.0,0.0,-16.0,8.0,16.0,138.0,10.0
214,16,Jamal Murray,2.0,41.0,28.0,8.0,-18.0,32.0,-35.0,7.0,-3.0,12.0,0.0,74.0,5.36
215,17,Coby White,16.0,88.0,36.0,20.0,-16.0,60.0,-69.0,12.0,-18.0,20.0,0.0,149.0,7.66
216,17,Tyrese Haliburton,5.0,76.0,94.0,15.0,-20.0,58.0,-61.0,13.0,-6.0,32.0,0.0,206.0,10.59
217,17,Franz Wagner,16.0,83.0,40.0,27.0,-26.0,62.0,-69.0,5.0,-19.0,20.0,4.0,143.0,7.35
218,17,Vince Williams Jr.,0.0,9.0,16.0,6.0,-8.0,8.0,-6.0,1.0,0.0,0.0,0.0,26.0,1.34
219,17,Darius Garland,13.0,67.0,66.0,10.0,-24.0,44.0,-50.0,10.0,-15.0,24.0,0.0,145.0,7.45
220,17,Jalen Johnson,5.0,65.0,26.0,42.0,-6.0,58.0,-59.0,2.0,-10.0,8.0,28.0,159.0,8.17
221,17,Donte DiVincenzo,0.0,51.0,14.0,12.0,-10.0,38.0,-48.0,13.0,0.0,16.0,12.0,98.0,5.04
222,17,Jonas Valanciunas,4.0,62.0,18.0,52.0,-12.0,56.0,-50.0,2.0,-6.0,4.0,16.0,146.0,7.5
223,17,Devin Booker,35.0,113.0,58.0,17.0,-24.0,74.0,-85.0,4.0,-38.0,28.0,4.0,186.0,9.56
224,17,Damian Lillard,22.0,103.0,72.0,26.0,-34.0,68.0,-88.0,13.0,-23.0,20.0,4.0,183.0,9.4
225,17,Kawhi Leonard,11.0,82.0,20.0,23.0,-28.0,68.0,-65.0,3.0,-12.0,36.0,8.0,146.0,7.5
226,17,Dejounte Murray,8.0,79.0,62.0,31.0,-26.0,66.0,-70.0,5.0,-11.0,24.0,8.0,176.0,9.04
227,17,Jalen Duren,8.0,46.0,20.0,41.0,-14.0,38.0,-33.0,0.0,-11.0,16.0,16.0,127.0,6.53
228,17,Jamal Murray,0.0,21.0,16.0,6.0,-6.0,20.0,-22.0,1.0,0.0,12.0,8.0,56.0,2.88
229,18,Coby White,14.0,46.0,40.0,16.0,-12.0,28.0,-48.0,4.0,-16.0,4.0,4.0,80.0,5.57
230,18,Tyrese Haliburton,8.0,38.0,62.0,12.0,-8.0,26.0,-49.0,4.0,-10.0,12.0,8.0,103.0,7.17
231,18,Franz Wagner,10.0,48.0,24.0,16.0,-20.0,38.0,-32.0,0.0,-12.0,8.0,20.0,100.0,6.96
232,18,Darius Garland,6.0,79.0,42.0,12.0,-20.0,52.0,-67.0,21.0,-8.0,16.0,0.0,133.0,9.26
233,18,Jalen Johnson,6.0,43.0,14.0,27.0,-16.0,34.0,-38.0,3.0,-8.0,4.0,8.0,77.0,5.36
234,18,Donte DiVincenzo,2.0,88.0,24.0,20.0,-18.0,66.0,-77.0,20.0,-4.0,32.0,8.0,161.0,11.2
235,18,Jonas Valanciunas,3.0,22.0,8.0,21.0,-8.0,18.0,-18.0,1.0,-4.0,0.0,8.0,51.0,3.55
236,18,Devin Booker,11.0,59.0,16.0,9.0,-12.0,40.0,-44.0,8.0,-11.0,8.0,4.0,88.0,6.12
237,18,Damian Lillard,12.0,56.0,32.0,18.0,-16.0,34.0,-46.0,10.0,-13.0,8.0,0.0,95.0,6.61
238,18,Dejounte Murray,8.0,65.0,54.0,16.0,-18.0,52.0,-57.0,5.0,-13.0,12.0,12.0,136.0,9.46
239,18,Kawhi Leonard,15.0,85.0,22.0,21.0,-8.0,64.0,-65.0,6.0,-17.0,16.0,8.0,147.0,10.23
240,18,Jalen Duren,16.0,50.0,26.0,40.0,-18.0,34.0,-36.0,0.0,-18.0,12.0,20.0,126.0,8.77
241,18,Jamal Murray,2.0,62.0,40.0,10.0,-16.0,52.0,-44.0,8.0,-3.0,8.0,0.0,119.0,8.28
242,18,Marvin Bagley III,0.0,10.0,0.0,10.0,0.0,10.0,-9.0,0.0,0.0,0.0,0.0,21.0,1.46
243,19,Coby White,10.0,101.0,48.0,20.0,-22.0,74.0,-66.0,17.0,-11.0,12.0,4.0,187.0,11.37
244,19,Tyrese Haliburton,10.0,62.0,64.0,16.0,-22.0,46.0,-45.0,6.0,-11.0,4.0,4.0,134.0,8.15
245,19,Franz Wagner,11.0,62.0,12.0,16.0,-12.0,48.0,-60.0,3.0,-15.0,16.0,8.0,89.0,5.41
246,19,Darius Garland,12.0,79.0,62.0,7.0,-30.0,56.0,-69.0,11.0,-15.0,12.0,0.0,125.0,7.6
247,19,Jalen Johnson,0.0,33.0,22.0,13.0,-4.0,30.0,-22.0,3.0,0.0,4.0,4.0,83.0,5.05
248,19,Grayson Allen,3.0,33.0,10.0,8.0,-6.0,22.0,-22.0,8.0,-4.0,0.0,4.0,56.0,3.4
249,19,Donte DiVincenzo,4.0,47.0,30.0,17.0,-26.0,32.0,-54.0,11.0,-4.0,24.0,8.0,89.0,5.41
250,19,Jonas Valanciunas,6.0,20.0,8.0,29.0,-10.0,12.0,-15.0,2.0,-6.0,4.0,16.0,66.0,4.01
251,19,Damian Lillard,24.0,124.0,66.0,17.0,-18.0,80.0,-80.0,20.0,-25.0,8.0,4.0,220.0,13.37
252,19,Dejounte Murray,12.0,103.0,64.0,19.0,-20.0,76.0,-83.0,15.0,-16.0,24.0,0.0,194.0,11.79
253,19,Kawhi Leonard,10.0,63.0,32.0,19.0,-6.0,50.0,-52.0,3.0,-11.0,24.0,8.0,140.0,8.51
254,19,Jalen Duren,8.0,32.0,20.0,32.0,-14.0,24.0,-17.0,0.0,-8.0,8.0,0.0,85.0,5.17
255,19,Jamal Murray,11.0,84.0,48.0,16.0,-18.0,64.0,-64.0,9.0,-13.0,20.0,0.0,157.0,9.54
256,19,Marvin Bagley III,2.0,6.0,8.0,9.0,-4.0,4.0,-7.0,0.0,-2.0,4.0,0.0,20.0,1.22
